tweet_id,tweet_date,source,text,rating_numerator,rating_denominator,name,favorite_count,favorited,full_text,id,retweet_count,retweeted,breed,confidence,stage,gender
892177421306343426,2017-08-01 00:17:27,iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,13.0,Tilly,,,,,,,Chihuahua,0.323581,,female
891815181378084864,2017-07-31 00:18:03,iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,12.0,Archie,23704.0,False,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,8.918151813780849e+17,3809.0,False,Chihuahua,0.716012,,male
891689557279858688,2017-07-30 15:58:51,iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,13.0,Darla,39832.0,False,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,8.916895572798587e+17,7929.0,False,Labrador_retriever,0.168086,,female
891327558926688256,2017-07-29 16:00:24,iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,12.0,Franklin,38037.0,False,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",8.913275589266883e+17,8557.0,False,basset,0.555712,,male
891087950875897856,2017-07-29 00:08:17,iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,13.0,None,19142.0,False,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,8.910879508758979e+17,2859.0,False,Chesapeake_Bay_retriever,0.425595,,NaN
890971913173991426,2017-07-28 16:27:12,iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,13.0,Jax,,,,,,,Appenzeller,0.34170300000000003,,male
890729181411237888,2017-07-28 00:22:40,iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,13.0,None,61557.0,False,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,8.907291814112379e+17,17336.0,False,Pomeranian,0.566142,,male
890609185150312448,2017-07-27 16:25:51,iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,13.0,Zoey,26361.0,False,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,8.906091851503124e+17,3945.0,False,Irish_terrier,0.487574,,female
890240255349198849,2017-07-26 15:59:51,iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,14.0,Cassie,,,,,,,Pembroke,0.511319,doggo,female
890006608113172480,2017-07-26 00:31:25,iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,13.0,Koda,29012.0,False,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,8.900066081131725e+17,6743.0,False,Samoyed,0.957979,,male
889880896479866881,2017-07-25 16:11:53,iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,13.0,Bruno,,,,,,,French_bulldog,0.377417,,male
889665388333682689,2017-07-25 01:55:32,iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,13.0,None,,,,,,,Pembroke,0.966327,puppo,NaN
889638837579907072,2017-07-25 00:10:02,iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,12.0,Ted,25579.0,False,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,8.896388375799071e+17,4129.0,False,French_bulldog,0.99165,,male
889531135344209921,2017-07-24 17:02:04,iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,13.0,Stuart,,,,,,,golden_retriever,0.953442,puppo,male
